epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7588,3.5165,6.90067,1.31276,0,0,0,0,3.99125,7.17597,1.79374,0.000533333,0.000533333,0.000533333
2,21.4978,3.4103,7.2704,1.38047,0,0,0,0,3.99125,7.17597,1.79374,0.00117624,0.00117624,0.00117624
3,32.4519,3.10737,6.83964,1.087,0,0,0,0,3.99125,7.17597,1.79374,0.00179275,0.00179275,0.00179275
4,43.4643,3.37097,7.7149,1.24803,0,0,0,0,3.99125,7.17597,1.79374,0.0018812,0.0018812,0.0018812
5,54.4699,3.11278,8.44355,1.12438,0,0,0,0,3.99125,7.17597,1.79374,0.0018416,0.0018416,0.0018416
6,65.8171,3.03535,6.59185,1.53941,0,0,0,0,3.99125,7.17597,1.79374,0.001802,0.001802,0.001802
7,77.2123,4.49783,48.1819,2.29977,0,0,0,0,4.0217,781.865,2.49285,0.0017624,0.0017624,0.0017624
8,88.2837,4.77445,50.8678,2.42414,0,0,0,0,4.0217,781.865,2.49285,0.0017228,0.0017228,0.0017228
9,99.3806,4.45274,57.8067,2.38718,0,0,0,0,4.0217,781.865,2.49285,0.0016832,0.0016832,0.0016832
10,110.836,5.59912,60.8057,3.13858,0,0,0,0,4.0217,781.865,2.49285,0.0016436,0.0016436,0.0016436
11,121.893,5.38118,74.8344,2.97345,0,0,0,0,4.0217,781.865,2.49285,0.001604,0.001604,0.001604
12,133.014,4.56073,63.6287,2.46454,0,0,0,0,4.0217,781.865,2.49285,0.0015644,0.0015644,0.0015644
13,144.154,5.27482,282.151,2.75677,0,0,0,0,0,1.16382e+07,0,0.0015248,0.0015248,0.0015248
14,155.179,4.13245,224.57,2.09286,0,0,0,0,0,1.16382e+07,0,0.0014852,0.0014852,0.0014852
15,166.219,4.49407,142.697,2.16783,0,0,0,0,0,1.16382e+07,0,0.0014456,0.0014456,0.0014456
16,177.388,5.05624,252.452,2.48537,0,0,0,0,0,1.16382e+07,0,0.001406,0.001406,0.001406
17,188.437,3.71307,244.063,1.86991,0,0,0,0,0,1.16382e+07,0,0.0013664,0.0013664,0.0013664
18,199.532,5.00982,323.926,2.51745,0,0,0,0,0,1.16382e+07,0,0.0013268,0.0013268,0.0013268
19,210.635,3.67469,35.4594,2.06019,0,0,0,0,0,0.06401,0,0.0012872,0.0012872,0.0012872
20,221.765,5.31675,16.3557,2.65631,0,0,0,0,0,0.06401,0,0.0012476,0.0012476,0.0012476
21,232.73,4.46831,18.4128,2.48246,0,0,0,0,0,0.06401,0,0.001208,0.001208,0.001208
22,244.054,3.53354,19.1096,1.81207,0,0,0,0,0,0.06401,0,0.0011684,0.0011684,0.0011684
23,255.166,5.46435,20.3399,2.77579,0,0,0,0,0,0.06401,0,0.0011288,0.0011288,0.0011288
